Região,Total,Homens,Homens brancos,Homens pretos ou pardos,Mulheres,Mulheres brancas,Mulheres pretas ou pardas
Brasil,93.4,93.1,96.4,90.6,93.7,96.4,91.5
Norte,92.4,91.8,94.6,91.1,93,94.8,92.6
Nordeste,86.1,90.5,88.3,83.5,87.5,90.6,86.4
Sudeste,96.7,89.2,98,95.7,96.6,97.7,95.2
Sul,96.7,87.9,97.9,94.6,96.4,97.5,92.9
Centro-Oeste,95.1,86.6,96.7,94.2,95.2,96.6,94.3
Brasil,99.2,98.9,99.2,98.6,99.5,99.6,99.4
Norte,99,98.8,99.2,98.7,99.2,99,99.2
Nordeste,98.6,97.8,98.2,97.7,99.3,99.4,99.3
Sudeste,99.5,99.5,99.4,99.5,99.6,99.6,99.6
Sul,99.5,99.3,99.5,98.7,99.7,99.9,99.3
Centro-Oeste,99.5,99.3,99.6,99.1,99.7,99.6,99.8
Brasil,94.7,93.9,97.1,91.4,95.4,97.8,93.4
Norte,93.1,92.1,95.3,91.4,94.1,96,93.6
Nordeste,87.7,85.4,89.5,84.1,89.7,93.1,88.6
Sudeste,97.7,97.5,98.5,96.5,97.9,98.8,97
Sul,97.8,97.8,98.5,95.8,97.7,98.6,95.1
Centro-Oeste,96.4,95.9,97.4,95.1,96.8,98,96.1
Brasil,79.3,79.4,89.4,69,79.3,88.5,68.4
Norte,71,70.7,80.2,68.4,71.2,80.2,68.5
Nordeste,59,56.9,67.6,53.1,60.7,71.8,56
Sudeste,88.5,89.7,93.9,83.2,87.6,92.2,79.8
Sul,88.7,90.1,92.9,78,87.6,91.3,70.2
Centro-Oeste,80.4,82.2,89,76.8,78.8,86.6,72.9